ppid,ppt,met,observed,coord,met_type,pendulum_A,pendulum_B
OBSV1_NM_A,A,No,Yes,N/A,N/A,,N/A
OBSV2_NM_A,A,No,Yes,N/A,N/A,,N/A
OBSV1_M_A,A,Yes,Yes,,,,N/A
OBSV2_M_A,A,Yes,Yes,,,,N/A
OBSV3_M_A,A,No,Yes,,,,N/A
OBSV4_M_A,A,No,Yes,,,,N/A
OBSV5_M_A,A,No,Yes,,,,N/A
OBSV6_M_A,A,No,Yes,,,,N/A
,,,,,,,
OBSV1_NM_B,B,No,Yes,N/A,N/A,N/A,
OBSV2_NM_B,B,No,Yes,N/A,N/A,N/A,
OBSV1_M_B,B,No,Yes,,,N/A,
OBSV2_M_B,B,No,Yes,,,N/A,
OBSV3_M_B,B,No,Yes,,,N/A,
OBSV4_M_B,B,No,Yes,,,N/A,
OBSV5_M_B,B,No,Yes,,,N/A,
OBSV6_M_B,B,No,Yes,,,N/A,
